ID	Notes	Scaffold	sgRNA1_ID	Gene1	sgRNA2_ID	Gene2	Gene_Pair	PILOT_100X_D14_R1	PILOT_100X_D14_R2	PILOT_100X_D14_R3	PILOT_100X_D3	PILOT_500X_D14_R1	PILOT_500X_D14_R2	PILOT_500X_D14_R3	PILOT_500X_D3	PILOT_PCR500X_D14_R1	PILOT_PCR500X_D14_R2	PILOT_PCR500X_D14_R3	PILOT_PCR500X_D3	PILOT_Plasmid
DG0003086	Anchors	Wildtype	941352914	INTERGENIC	1200224945	TAZ	INTERGENIC~TAZ	44	32	67	60	70	80	99	113	72	72	97	95	204
DG0003087	Anchors	Wildtype	941352914	INTERGENIC	1200224958	TAZ	INTERGENIC~TAZ	95	89	112	72	110	80	120	103	86	87	101	102	176
DG0003088	Anchors	Wildtype	941352914	INTERGENIC	1200226386	TAZ	INTERGENIC~TAZ	48	97	66	64	111	88	76	89	68	74	101	89	108
DG0003089	Anchors	Wildtype	1131322505	INTERGENIC	1159040247	BCL2	INTERGENIC~BCL2	84	105	74	47	108	88	106	68	51	79	109	55	102
DG0003090	Anchors	Wildtype	1131322505	INTERGENIC	1159040265	BCL2	INTERGENIC~BCL2	111	77	81	72	143	95	161	94	69	122	124	75	142
DG0003091	Anchors	Wildtype	1131322505	INTERGENIC	1159040298	BCL2	INTERGENIC~BCL2	118	128	91	45	140	112	171	109	88	159	162	77	127
DG0003092	Anchors	Wildtype	1131322505	INTERGENIC	1159040340	BCL2	INTERGENIC~BCL2	50	78	91	23	80	100	101	49	80	87	63	50	80
DG0003093	Anchors	Wildtype	1055466993	INTERGENIC	953249130	CTNNB1	INTERGENIC~CTNNB1	9	0	10	26	4	10	19	43	8	0	1	13	82
DG0003094	Anchors	Wildtype	1055466993	INTERGENIC	953248905	CTNNB1	INTERGENIC~CTNNB1	86	29	46	51	44	43	63	116	21	33	48	95	157
DG0003095	Anchors	Wildtype	1055466993	INTERGENIC	953248928	CTNNB1	INTERGENIC~CTNNB1	28	43	67	66	44	35	52	100	67	68	92	80	181
DG0003096	Anchors	Wildtype	1055466993	INTERGENIC	953249120	CTNNB1	INTERGENIC~CTNNB1	15	28	43	55	35	19	24	86	48	58	28	105	170
DG0003097	Anchors	Wildtype	1119869746	INTERGENIC	1114465942	PRMT5	INTERGENIC~PRMT5	27	31	14	86	27	16	18	131	6	34	15	139	229
DG0003098	Anchors	Wildtype	1119869746	INTERGENIC	1114465989	PRMT5	INTERGENIC~PRMT5	37	42	28	65	34	21	45	108	29	55	29	87	149
DG0003099	Anchors	Wildtype	1119869746	INTERGENIC	1114466734	PRMT5	INTERGENIC~PRMT5	17	40	23	52	38	30	34	80	9	7	48	78	161
DG0003100	Anchors	Wildtype	1119869746	INTERGENIC	1114466155	PRMT5	INTERGENIC~PRMT5	50	13	19	115	48	14	43	115	9	46	49	112	203
DG0003101	Anchors	Wildtype	904964476	INTERGENIC	1128285684	MAP2K1	INTERGENIC~MAP2K1	39	54	59	77	70	51	96	87	114	70	85	48	119
DG0003102	Anchors	Wildtype	904964476	INTERGENIC	1128285899	MAP2K1	INTERGENIC~MAP2K1	104	80	104	90	126	115	171	144	106	72	106	99	258
DG0003103	Anchors	Wildtype	904964476	INTERGENIC	1128285887	MAP2K1	INTERGENIC~MAP2K1	38	76	64	92	113	55	78	131	83	62	120	153	151
DG0003104	Anchors	Wildtype	904964476	INTERGENIC	1128291502	MAP2K1	INTERGENIC~MAP2K1	19	75	57	41	79	81	109	92	31	86	89	138	137
DG0003105	Anchors	Wildtype	984184018	INTERGENIC	1033379492	BRAF	INTERGENIC~BRAF	0	0	1	0	0	3	0	4	0	7	0	9	2
DG0003106	Anchors	Wildtype	984184018	INTERGENIC	1033379562	BRAF	INTERGENIC~BRAF	41	66	66	110	100	73	85	111	77	70	91	77	181
DG0003107	Anchors	Wildtype	984184018	INTERGENIC	1033379490	BRAF	INTERGENIC~BRAF	87	113	90	82	100	57	102	101	86	71	119	102	159
DG0003108	Anchors	Wildtype	984184018	INTERGENIC	1033390638	BRAF	INTERGENIC~BRAF	20	37	69	54	43	32	82	108	47	89	126	69	195
DG0003109	Anchors	Wildtype	953471261	INTERGENIC	1047732517	MYC	INTERGENIC~MYC	2	25	29	48	25	12	35	79	5	23	25	61	141
DG0003110	Anchors	Wildtype	953471261	INTERGENIC	1047732605	MYC	INTERGENIC~MYC	14	8	16	53	8	7	18	65	4	5	9	61	117
DG0003111	Anchors	Wildtype	953471261	INTERGENIC	1047732533	MYC	INTERGENIC~MYC	6	11	9	24	12	12	18	53	35	30	19	37	143
DG0003112	Anchors	Wildtype	953471261	INTERGENIC	1047732545	MYC	INTERGENIC~MYC	7	10	11	37	9	22	25	61	9	19	24	59	137
DG0003113	Anchors	Wildtype	1074249461	INTERGENIC	908512446	JAK1	INTERGENIC~JAK1	89	108	163	65	159	128	186	109	134	125	175	124	138
DG0003114	Anchors	Wildtype	1074249461	INTERGENIC	908512427	JAK1	INTERGENIC~JAK1	58	58	103	48	122	92	111	72	142	91	169	54	103
DG0003115	Anchors	Wildtype	1074249461	INTERGENIC	908514985	JAK1	INTERGENIC~JAK1	93	99	132	88	129	145	194	93	194	181	168	105	114
DG0003116	Anchors	Wildtype	1074249461	INTERGENIC	908511158	JAK1	INTERGENIC~JAK1	70	64	64	43	115	74	111	78	100	87	155	70	88
DG0003117	Anchors	Wildtype	998444770	INTERGENIC	1190220928	PORCN	INTERGENIC~PORCN	120	123	179	89	181	127	203	157	147	179	136	107	226
DG0003118	Anchors	Wildtype	998444770	INTERGENIC	1190221097	PORCN	INTERGENIC~PORCN	145	139	148	97	163	114	185	163	104	202	230	112	232
DG0003119	Anchors	Wildtype	998444770	INTERGENIC	1190221034	PORCN	INTERGENIC~PORCN	172	110	187	77	203	126	201	163	200	194	191	97	167
DG0003120	Anchors	Wildtype	998444770	INTERGENIC	1190221042	PORCN	INTERGENIC~PORCN	138	228	193	137	236	236	253	192	126	135	181	151	239
DG0003121	Anchors	Wildtype	919784692	INTERGENIC	963198540	ATR	INTERGENIC~ATR	38	45	58	159	54	41	65	249	36	55	37	167	241
DG0003122	Anchors	Wildtype	919784692	INTERGENIC	963190174	ATR	INTERGENIC~ATR	11	6	21	49	19	7	32	65	3	7	2	57	66
DG0003123	Anchors	Wildtype	919784692	INTERGENIC	963194180	ATR	INTERGENIC~ATR	11	28	4	46	21	8	2	100	21	2	12	67	133
DG0003124	Anchors	Wildtype	919784692	INTERGENIC	963198822	ATR	INTERGENIC~ATR	46	41	7	62	27	32	33	105	12	11	32	85	125
DG0003125	Anchors	Wildtype	996215783	INTERGENIC	1087770631	YAP1	INTERGENIC~YAP1	98	104	60	110	166	128	176	181	130	121	127	164	215
DG0003126	Anchors	Wildtype	996215783	INTERGENIC	1087761927	YAP1	INTERGENIC~YAP1	19	28	34	71	61	42	64	103	74	68	79	76	172
DG0003127	Anchors	Wildtype	996215783	INTERGENIC	1087770615	YAP1	INTERGENIC~YAP1	104	79	89	112	94	69	119	156	92	79	105	157	243
DG0003128	Anchors	Wildtype	996215783	INTERGENIC	1087772288	YAP1	INTERGENIC~YAP1	51	40	33	37	89	62	87	94	55	65	59	78	112
DG0003129	Anchors	Wildtype	930457037	INTERGENIC	950378400	RAF1	INTERGENIC~RAF1	59	45	85	53	119	93	93	80	94	90	105	78	174
DG0003130	Anchors	Wildtype	930457037	INTERGENIC	950379969	RAF1	INTERGENIC~RAF1	67	91	88	46	81	120	87	93	128	153	79	78	109
DG0003131	Anchors	Wildtype	930457037	INTERGENIC	950379604	RAF1	INTERGENIC~RAF1	113	56	84	47	95	105	131	70	82	123	103	60	124
DG0003132	Anchors	Wildtype	930457037	INTERGENIC	950380675	RAF1	INTERGENIC~RAF1	114	67	139	51	125	101	111	99	100	180	106	73	155
DG0003133	Anchors	Wildtype	1109915083	INTERGENIC	1024980888	EGFR	INTERGENIC~EGFR	127	125	131	114	159	118	206	166	104	114	182	177	141
DG0003134	Anchors	Wildtype	1109915083	INTERGENIC	1024965420	EGFR	INTERGENIC~EGFR	118	73	101	62	105	87	104	122	101	99	94	75	201
DG0003135	Anchors	Wildtype	1109915083	INTERGENIC	1024979188	EGFR	INTERGENIC~EGFR	70	59	102	62	96	82	118	97	73	109	120	67	103
DG0003136	Anchors	Wildtype	1109915083	INTERGENIC	1024979662	EGFR	INTERGENIC~EGFR	44	49	51	54	45	50	62	56	57	58	66	48	113
DG0003137	Anchors	Wildtype	1076265353	INTERGENIC	1171994543	BCL2L1	INTERGENIC~BCL2L1	118	85	81	88	176	94	148	133	84	84	153	142	156
DG0003138	Anchors	Wildtype	1076265353	INTERGENIC	1171994567	BCL2L1	INTERGENIC~BCL2L1	63	73	34	70	93	68	103	80	79	73	109	75	123
DG0003139	Anchors	Wildtype	1076265353	INTERGENIC	1171994553	BCL2L1	INTERGENIC~BCL2L1	16	19	52	68	63	28	55	77	38	37	62	81	105
DG0003140	Anchors	Wildtype	1076265353	INTERGENIC	1171994566	BCL2L1	INTERGENIC~BCL2L1	47	51	50	89	98	68	123	84	36	106	71	82	174
DG0003141	Anchors	Wildtype	1003682266	INTERGENIC	1161407654	MAP2K2	INTERGENIC~MAP2K2	40	97	61	29	95	78	120	51	50	77	93	35	282
DG0003142	Anchors	Wildtype	1003682266	INTERGENIC	1161407191	MAP2K2	INTERGENIC~MAP2K2	53	66	76	42	114	86	100	72	59	69	80	52	102
DG0003143	Anchors	Wildtype	1003682266	INTERGENIC	1161411022	MAP2K2	INTERGENIC~MAP2K2	121	137	165	93	221	154	226	126	171	166	170	117	140
DG0003144	Anchors	Wildtype	1003682266	INTERGENIC	1161408011	MAP2K2	INTERGENIC~MAP2K2	56	87	47	50	178	123	128	84	78	137	79	69	162
DG0003145	Anchors	Wildtype	1065073445	INTERGENIC	1122899551	AKT1	INTERGENIC~AKT1	77	93	29	31	89	86	93	53	70	21	63	25	76
DG0003146	Anchors	Wildtype	1065073445	INTERGENIC	1122899327	AKT1	INTERGENIC~AKT1	55	85	87	50	135	95	132	73	112	100	89	57	116
DG0003147	Anchors	Wildtype	1065073445	INTERGENIC	1122900455	AKT1	INTERGENIC~AKT1	165	172	148	115	159	125	189	121	103	203	201	96	145
DG0003148	Anchors	Wildtype	1065073445	INTERGENIC	1122899549	AKT1	INTERGENIC~AKT1	109	101	95	76	126	135	173	89	125	198	129	91	160
DG0003149	Anchors	Wildtype	1133705368	INTERGENIC	1172151158	DNMT3B	INTERGENIC~DNMT3B	41	71	36	79	106	64	104	73	93	61	90	45	128
DG0003150	Anchors	Wildtype	1133705368	INTERGENIC	1172150537	DNMT3B	INTERGENIC~DNMT3B	163	92	153	66	166	143	200	109	170	154	145	105	155
DG0003151	Anchors	Wildtype	1133705368	INTERGENIC	1172151690	DNMT3B	INTERGENIC~DNMT3B	95	102	150	70	205	137	179	145	114	122	145	72	178
DG0003152	Anchors	Wildtype	1133705368	INTERGENIC	1172151164	DNMT3B	INTERGENIC~DNMT3B	82	143	59	36	85	122	115	57	90	136	70	42	64
DG0003153	Anchors	Wildtype	958793424	INTERGENIC	1088292748	ATM	INTERGENIC~ATM	74	74	135	46	137	115	136	95	111	140	98	53	149
DG0003154	Anchors	Wildtype	958793424	INTERGENIC	1088293599	ATM	INTERGENIC~ATM	83	76	106	52	182	95	112	72	104	109	128	38	154
DG0003155	Anchors	Wildtype	958793424	INTERGENIC	1088298443	ATM	INTERGENIC~ATM	107	76	118	41	149	85	114	66	99	128	83	59	95
DG0003156	Anchors	Wildtype	958793424	INTERGENIC	1088292147	ATM	INTERGENIC~ATM	92	100	144	49	162	89	120	116	153	85	172	112	106
DG0003157	Anchors	Wildtype	1117389378	INTERGENIC	1181291679	MAPK1	INTERGENIC~MAPK1	103	62	72	95	129	60	109	140	84	100	115	98	160
DG0003158	Anchors	Wildtype	1117389378	INTERGENIC	1181292357	MAPK1	INTERGENIC~MAPK1	77	130	97	109	184	109	141	170	62	143	151	156	202
DG0003159	Anchors	Wildtype	1117389378	INTERGENIC	1181292359	MAPK1	INTERGENIC~MAPK1	39	69	91	84	129	118	111	151	102	92	67	102	189
DG0003160	Anchors	Wildtype	1117389378	INTERGENIC	1181292542	MAPK1	INTERGENIC~MAPK1	116	54	130	76	99	76	135	116	65	106	87	74	149
DG0003161	Anchors	Wildtype	1010075660	INTERGENIC	914758331	MCL1	INTERGENIC~MCL1	324	313	479	182	577	403	536	265	361	393	438	258	293
DG0003162	Anchors	Wildtype	1010075660	INTERGENIC	914758312	MCL1	INTERGENIC~MCL1	91	120	162	69	145	115	179	125	180	155	79	67	287
DG0003163	Anchors	Wildtype	1010075660	INTERGENIC	914758358	MCL1	INTERGENIC~MCL1	96	99	145	82	202	165	188	139	130	180	204	95	119
DG0003164	Anchors	Wildtype	1010075660	INTERGENIC	914758316	MCL1	INTERGENIC~MCL1	117	153	144	83	175	179	174	126	136	176	89	126	92
DG0003165	Anchors	Wildtype	917570869	INTERGENIC	1162351773	DNMT1	INTERGENIC~DNMT1	43	25	59	80	58	42	51	127	16	23	57	68	125
DG0003166	Anchors	Wildtype	917570869	INTERGENIC	1162352611	DNMT1	INTERGENIC~DNMT1	44	60	31	64	54	54	43	112	68	37	21	72	233
DG0003167	Anchors	Wildtype	917570869	INTERGENIC	1162352610	DNMT1	INTERGENIC~DNMT1	91	35	33	76	78	39	81	112	25	57	62	129	270
DG0003168	Anchors	Wildtype	917570869	INTERGENIC	1162351366	DNMT1	INTERGENIC~DNMT1	45	38	45	80	83	46	48	137	70	54	67	81	203
DG0003169	Anchors	Wildtype	943930893	INTERGENIC	1038833878	WRN	INTERGENIC~WRN	82	93	136	93	182	135	196	114	163	165	97	130	204
DG0003170	Anchors	Wildtype	943930893	INTERGENIC	1038837769	WRN	INTERGENIC~WRN	22	43	32	27	53	41	28	34	10	23	112	33	50
DG0003171	Anchors	Wildtype	943930893	INTERGENIC	1038835085	WRN	INTERGENIC~WRN	57	39	90	34	72	68	84	55	78	61	69	70	99
DG0003172	Anchors	Wildtype	943930893	INTERGENIC	1038835461	WRN	INTERGENIC~WRN	96	108	135	97	202	85	162	122	135	156	144	128	123
DG0003173	Anchors	Wildtype	1052633906	INTERGENIC	1172774185	SRC	INTERGENIC~SRC	157	104	128	101	202	158	191	188	91	164	174	172	277
DG0003174	Anchors	Wildtype	1052633906	INTERGENIC	1172773345	SRC	INTERGENIC~SRC	195	163	166	138	243	189	298	198	196	213	288	190	251
DG0003175	Anchors	Wildtype	1052633906	INTERGENIC	1172771312	SRC	INTERGENIC~SRC	159	163	233	119	313	223	303	181	190	284	241	137	232
DG0003176	Anchors	Wildtype	1052633906	INTERGENIC	1172771732	SRC	INTERGENIC~SRC	170	105	77	79	167	104	154	127	83	91	133	110	139
DG0003177	Anchors	Wildtype	970782457	INTERGENIC	1147332747	ERBB2	INTERGENIC~ERBB2	190	199	207	152	220	153	190	168	175	203	207	148	218
DG0003178	Anchors	Wildtype	970782457	INTERGENIC	1147333124	ERBB2	INTERGENIC~ERBB2	65	32	29	40	78	49	67	67	48	42	45	72	157
DG0003179	Anchors	Wildtype	970782457	INTERGENIC	1147332907	ERBB2	INTERGENIC~ERBB2	83	40	57	42	77	54	48	72	37	70	62	59	165
DG0003180	Anchors	Wildtype	970782457	INTERGENIC	1147332732	ERBB2	INTERGENIC~ERBB2	185	126	120	166	197	131	150	177	145	114	190	174	223
DG0003181	Anchors	Wildtype	1113039998	INTERGENIC	922535855	PARP1	INTERGENIC~PARP1	323	220	332	169	404	328	362	257	351	311	371	218	172
DG0003182	Anchors	Wildtype	1113039998	INTERGENIC	922536588	PARP1	INTERGENIC~PARP1	422	218	368	191	477	378	500	282	321	348	515	221	263
DG0003183	Anchors	Wildtype	1113039998	INTERGENIC	922535694	PARP1	INTERGENIC~PARP1	187	208	247	116	265	183	287	189	172	243	302	125	164
DG0003184	Anchors	Wildtype	1113039998	INTERGENIC	922535157	PARP1	INTERGENIC~PARP1	127	168	119	81	214	188	184	147	171	155	162	96	115
DG0003185	Anchors	Wildtype	994388002	INTERGENIC	1097266960	CDK4	INTERGENIC~CDK4	114	62	120	94	112	75	158	118	200	82	87	90	183
DG0003186	Anchors	Wildtype	994388002	INTERGENIC	1097266872	CDK4	INTERGENIC~CDK4	164	184	246	120	300	176	246	184	178	139	222	177	334
DG0003187	Anchors	Wildtype	994388002	INTERGENIC	1097266934	CDK4	INTERGENIC~CDK4	120	78	148	59	171	122	157	110	66	166	144	100	135
DG0003188	Anchors	Wildtype	994388002	INTERGENIC	1097266844	CDK4	INTERGENIC~CDK4	100	74	141	50	140	89	141	97	76	194	151	74	150
DG0003189	Anchors	Wildtype	1098881072	INTERGENIC	1098278327	MDM2	INTERGENIC~MDM2	140	186	211	85	234	187	273	156	135	201	205	90	155
DG0003190	Anchors	Wildtype	1098881072	INTERGENIC	1098278595	MDM2	INTERGENIC~MDM2	164	193	236	92	271	179	186	166	204	183	190	122	185
DG0003191	Anchors	Wildtype	1098881072	INTERGENIC	1098278372	MDM2	INTERGENIC~MDM2	88	103	94	56	160	114	153	87	81	120	200	99	164
DG0003192	Anchors	Wildtype	1098881072	INTERGENIC	1098276165	MDM2	INTERGENIC~MDM2	70	102	66	53	138	116	93	85	72	86	195	51	123
DG0003193	CopyNumber	Wildtype	1046542498	TRPS1	1168925904	SIRPB1	TRPS1~SIRPB1	109	129	156	59	159	105	187	112	169	104	141	77	113
DG0003194	CopyNumber	Wildtype	1046542458	TRPS1	1168924961	SIRPB1	TRPS1~SIRPB1	39	65	144	85	115	59	103	101	52	72	119	74	143
DG0003195	CopyNumber	Wildtype	1046659937	AARD	1047452336	ZNF572	AARD~ZNF572	42	30	56	69	81	42	84	78	57	45	41	93	147
DG0003196	CopyNumber	Wildtype	1046659960	AARD	1047452390	ZNF572	AARD~ZNF572	131	69	90	95	143	112	178	100	121	90	153	115	238
DG0003197	CopyNumber	Wildtype	1049220563	PTP4A3	1048807097	FAM135B	PTP4A3~FAM135B	45	22	54	47	52	49	86	78	23	32	68	91	102
DG0003198	CopyNumber	Wildtype	1049220558	PTP4A3	1048796221	FAM135B	PTP4A3~FAM135B	51	74	67	89	104	74	109	105	65	79	164	91	189
DG0003199	CopyNumber	Wildtype	1047024526	SNTB1	1047291204	FBXO32	SNTB1~FBXO32	26	48	47	53	86	40	78	88	57	67	63	65	134
DG0003200	CopyNumber	Wildtype	1047013138	SNTB1	1047291201	FBXO32	SNTB1~FBXO32	62	73	83	65	108	78	122	73	116	94	56	55	102
DG0003201	CopyNumber	Wildtype	1049180344	SLC45A4	1047344859	FER1L6	SLC45A4~FER1L6	208	199	288	181	430	249	366	207	180	332	398	163	329
DG0003202	CopyNumber	Wildtype	1049180275	SLC45A4	1047346652	FER1L6	SLC45A4~FER1L6	55	66	57	44	70	58	60	76	47	46	86	70	155
DG0003203	CopyNumber	Wildtype	1046679532	SLC30A8	1049204506	GPR20	SLC30A8~GPR20	34	61	89	44	69	89	102	93	30	65	46	91	166
DG0003204	CopyNumber	Wildtype	1046679961	SLC30A8	1049204546	GPR20	SLC30A8~GPR20	149	153	115	54	245	215	185	95	188	177	139	94	178
DG0003205	CopyNumber	Wildtype	1048272235	SLA	1047935688	GSDMC	SLA~GSDMC	160	128	166	98	175	127	167	139	127	185	93	120	177
DG0003206	CopyNumber	Wildtype	1048273089	SLA	1047934723	GSDMC	SLA~GSDMC	38	35	77	50	55	63	77	92	51	97	60	71	130
DG0003207	CopyNumber	Wildtype	1046802114	SAMD12	1047096208	HAS2	SAMD12~HAS2	119	46	79	54	89	59	116	92	37	69	93	52	173
DG0003208	CopyNumber	Wildtype	1046815638	SAMD12	1047096197	HAS2	SAMD12~HAS2	66	76	76	72	96	80	78	112	53	101	52	71	162
DG0003209	CopyNumber	Wildtype	1047394797	RNF139	1048167884	HHLA1	RNF139~HHLA1	52	60	73	81	67	68	86	166	51	36	75	93	163
DG0003210	CopyNumber	Wildtype	1047394762	RNF139	1048169055	HHLA1	RNF139~HHLA1	71	49	60	50	106	53	78	76	44	65	58	88	101
DG0003211	CopyNumber	Wildtype	1046652599	RAD21	1048980850	KCNK9	RAD21~KCNK9	42	14	41	51	29	16	31	93	43	6	10	106	160
DG0003212	CopyNumber	Wildtype	1046652881	RAD21	1048980833	KCNK9	RAD21~KCNK9	24	14	5	32	10	14	17	68	5	14	3	54	155
DG0003213	CopyNumber	Wildtype	1049117542	PTK2	1048178032	KCNQ3	PTK2~KCNQ3	34	43	54	89	71	50	89	156	34	59	58	134	254
DG0003214	CopyNumber	Wildtype	1049113811	PTK2	1048179774	KCNQ3	PTK2~KCNQ3	5	35	17	63	35	39	40	78	36	15	44	71	103
DG0003215	CopyNumber	Wildtype	1048331816	ST3GAL1	1048561957	KHDRBS3	ST3GAL1~KHDRBS3	37	37	34	48	35	21	44	86	37	36	58	61	86
DG0003216	CopyNumber	Wildtype	1048331802	ST3GAL1	1048562575	KHDRBS3	ST3GAL1~KHDRBS3	58	47	71	69	85	66	92	104	73	56	74	97	206
DG0003217	CopyNumber	Wildtype	1047697268	POU5F1B	1047305865	KLHL38	POU5F1B~KLHL38	36	27	81	100	39	37	70	115	49	65	79	130	151
DG0003218	CopyNumber	Wildtype	1047697293	POU5F1B	1047305875	KLHL38	POU5F1B~KLHL38	109	211	158	109	204	167	224	158	143	176	202	171	247
DG0003219	CopyNumber	Wildtype	1048246195	PHF20L1	1048230263	LRRC6	PHF20L1~LRRC6	86	60	100	69	127	108	134	84	65	113	106	80	102
DG0003220	CopyNumber	Wildtype	1048244445	PHF20L1	1048232947	LRRC6	PHF20L1~LRRC6	96	87	117	103	146	112	124	103	95	116	169	55	140
DG0003221	CopyNumber	Wildtype	1048163484	OC90	1046871352	MAL2	OC90~MAL2	40	62	33	47	59	61	38	72	27	33	35	63	131
DG0003222	CopyNumber	Wildtype	1048163491	OC90	1046872754	MAL2	OC90~MAL2	237	133	153	131	191	170	224	201	190	155	214	176	183
DG0003223	CopyNumber	Wildtype	1047488806	NSMCE2	1046712050	MED30	NSMCE2~MED30	2	13	22	56	7	10	10	88	21	17	8	89	131
DG0003224	CopyNumber	Wildtype	1047469191	NSMCE2	1046712047	MED30	NSMCE2~MED30	0	19	7	57	6	5	25	73	0	7	32	35	284
DG0003225	CopyNumber	Wildtype	1047400134	NDUFB9	1047320367	FAM91A1	NDUFB9~FAM91A1	17	15	5	23	23	20	22	52	3	35	15	40	61
DG0003226	CopyNumber	Wildtype	1047400605	NDUFB9	1047321232	FAM91A1	NDUFB9~FAM91A1	65	22	15	37	50	39	39	68	43	26	24	54	103
DG0003227	CopyNumber	Wildtype	1048301817	NDRG1	1046988818	MRPL13	NDRG1~MRPL13	70	39	66	65	98	70	117	119	82	119	108	104	175
DG0003228	CopyNumber	Wildtype	1048302531	NDRG1	1046989301	MRPL13	NDRG1~MRPL13	40	30	39	38	25	48	36	53	35	36	46	37	74
DG0003229	CopyNumber	Wildtype	1047454914	SQLE	1047252909	FAM83A	SQLE~FAM83A	107	53	102	115	114	84	111	146	126	91	111	173	248
DG0003230	CopyNumber	Wildtype	1047455288	SQLE	1047251187	FAM83A	SQLE~FAM83A	39	83	99	102	166	98	116	136	72	46	109	137	238
DG0003231	CopyNumber	Wildtype	1046922450	TAF2	1046910339	ENPP2	TAF2~ENPP2	17	31	44	39	26	28	34	95	44	24	65	68	117
DG0003232	CopyNumber	Wildtype	1046926523	TAF2	1046908566	ENPP2	TAF2~ENPP2	15	43	16	38	37	20	37	72	0	29	20	77	143
DG0003233	CopyNumber	Wildtype	1048064302	ADCY8	1049097396	AGO2	ADCY8~AGO2	26	13	33	19	32	41	37	29	41	23	36	34	52
DG0003234	CopyNumber	Wildtype	1048072710	ADCY8	1049098440	AGO2	ADCY8~AGO2	37	22	73	53	60	46	52	94	23	46	39	79	136
DG0003235	CopyNumber	Wildtype	1047390973	TRMT12	1047311830	ANXA13	TRMT12~ANXA13	123	122	179	76	141	100	190	142	124	82	204	116	235
DG0003236	CopyNumber	Wildtype	1047391038	TRMT12	1047312289	ANXA13	TRMT12~ANXA13	41	52	44	37	109	93	75	97	105	128	53	90	135
DG0003237	CopyNumber	Wildtype	1047225472	ZHX2	1047978197	ASAP1	ZHX2~ASAP1	67	55	109	84	139	61	100	101	64	86	78	88	151
DG0003238	CopyNumber	Wildtype	1047225439	ZHX2	1047984070	ASAP1	ZHX2~ASAP1	35	20	40	31	45	44	21	59	35	38	9	40	108
DG0003239	CopyNumber	Wildtype	1047260532	ZHX1	1047270069	ATAD2	ZHX1~ATAD2	51	49	90	76	56	83	125	90	37	71	64	115	155
DG0003240	CopyNumber	Wildtype	1047260519	ZHX1	1047274616	ATAD2	ZHX1~ATAD2	67	31	63	63	71	60	95	90	85	82	117	91	173
DG0003241	CopyNumber	Wildtype	1048459417	ZFAT	1047258821	C8orf76	ZFAT~C8orf76	61	43	70	42	98	61	72	59	54	70	66	53	131
DG0003242	CopyNumber	Wildtype	1048458841	ZFAT	1047258100	C8orf76	ZFAT~C8orf76	20	15	23	35	65	18	63	57	39	48	28	54	76
DG0003243	CopyNumber	Wildtype	1047279947	WDYHV1	1049090676	CHRAC1	WDYHV1~CHRAC1	30	17	18	57	40	25	26	56	11	10	66	47	100
DG0003244	CopyNumber	Wildtype	1047279944	WDYHV1	1049090700	CHRAC1	WDYHV1~CHRAC1	29	13	15	32	54	33	40	45	46	19	34	43	66
DG0003245	CopyNumber	Wildtype	1047461267	WASHC5	1046970364	COL14A1	WASHC5~COL14A1	54	61	31	51	73	55	85	122	30	41	63	100	224
DG0003246	CopyNumber	Wildtype	1047462096	WASHC5	1046973414	COL14A1	WASHC5~COL14A1	48	47	76	73	76	47	79	87	14	51	95	52	169
DG0003247	CopyNumber	Wildtype	1046644161	UTP23	1048881884	COL22A1	UTP23~COL22A1	38	15	69	97	37	57	51	196	20	45	61	171	249
DG0003248	CopyNumber	Wildtype	1046644180	UTP23	1048881821	COL22A1	UTP23~COL22A1	37	19	20	88	41	41	52	138	35	67	75	128	201
DG0003249	CopyNumber	Wildtype	1047499554	TRIB1	1046858817	COLEC10	TRIB1~COLEC10	36	38	70	51	39	57	55	81	22	30	29	50	108
DG0003250	CopyNumber	Wildtype	1047500060	TRIB1	1046858822	COLEC10	TRIB1~COLEC10	24	26	10	64	58	33	48	76	16	14	30	47	131
DG0003251	CopyNumber	Wildtype	1047396460	TATDN1	1049172146	DENND3	TATDN1~DENND3	90	56	49	70	107	53	57	116	74	92	87	84	185
DG0003252	CopyNumber	Wildtype	1047397556	TATDN1	1049171673	DENND3	TATDN1~DENND3	71	73	89	95	115	116	103	169	67	123	75	128	255
DG0003253	CopyNumber	Wildtype	1049076117	TRAPPC9	1046948919	DEPTOR	TRAPPC9~DEPTOR	63	58	102	62	82	44	113	74	81	77	67	40	137
DG0003254	CopyNumber	Wildtype	1049082024	TRAPPC9	1046944909	DEPTOR	TRAPPC9~DEPTOR	25	83	35	84	69	36	67	131	49	53	81	113	160
DG0003255	CopyNumber	Wildtype	1046847354	TNFRSF11B	1047235931	DERL1	TNFRSF11B~DERL1	64	51	55	63	52	37	64	88	71	79	48	81	146
DG0003256	CopyNumber	Wildtype	1046847365	TNFRSF11B	1047233872	DERL1	TNFRSF11B~DERL1	39	22	40	69	57	28	56	82	17	24	27	80	124
DG0003257	CopyNumber	Wildtype	1048242011	TMEM71	1046932194	DSCC1	TMEM71~DSCC1	102	135	107	81	192	103	139	140	127	115	93	92	205
DG0003258	CopyNumber	Wildtype	1048241996	TMEM71	1046932498	DSCC1	TMEM71~DSCC1	30	35	12	31	26	28	38	60	28	15	22	31	90
DG0003259	CopyNumber	Wildtype	1047381832	TMEM65	1048157193	EFR3A	TMEM65~EFR3A	57	44	54	79	64	54	92	114	35	63	73	109	173
